set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,37,0.000,0.000,1046,0.000,0.000,0.000, 12.76,  Inf,0.000,-57,-42, 15,
,,,,,,0.000,0.000, 11.75,  Inf,0.000,-48, -6,  0,
,,,,,,0.000,0.000, 11.27,  Inf,0.000,-51,  3, 27,
,,0.000,0.000,543,0.000,0.000,0.000, 11.19,  Inf,0.000,  3, 42, 24,
,,,,,,0.000,0.000, 11.15,  Inf,0.000,  0, 30, 36,
,,,,,,0.000,0.000, 10.94,  Inf,0.000,  0, 36, 42,
,,0.000,0.000,283,0.000,0.000,0.000, 11.04,  Inf,0.000, -9,-72, 18,
,,,,,,0.000,0.000,  9.07,  Inf,0.000, 15,-60,  9,
,,,,,,0.000,0.000,  8.88,  Inf,0.000, -6,-75, 27,
,,0.000,0.000,517,0.000,0.000,0.000,  9.75,  Inf,0.000, 54,-21, 12,
,,,,,,0.000,0.000,  9.62,  Inf,0.000, 45,-30, 15,
,,,,,,0.000,0.000,  8.97,  Inf,0.000, 42,  3,  0,
,,0.000,0.000,88,0.000,0.000,0.000,  9.00,  Inf,0.000,-21,  3, -3,
,,0.000,0.000,73,0.000,0.000,0.000,  8.97,  Inf,0.000,-45,-54,-21,
,,,,,,0.000,0.005,  6.65, 6.32,0.000,-39,-39,-24,
,,,,,,0.000,0.008,  6.56, 6.24,0.000,-27,-45,-15,
,,0.000,0.000,46,0.000,0.000,0.000,  8.94,  Inf,0.000,-21,-33, 66,
,,0.000,0.000,81,0.000,0.000,0.000,  8.90,  Inf,0.000,  3,  9, 60,
,,,,,,0.000,0.000,  7.58, 7.10,0.000, -3,  3, 54,
,,0.000,0.000,90,0.000,0.000,0.000,  8.82,  Inf,0.000,-54,-18,-12,
,,,,,,0.000,0.000,  8.32, 7.71,0.000,-54, -9,-18,
,,0.000,0.000,70,0.000,0.000,0.000,  8.62,  Inf,0.000, 57,-18,-12,
,,,,,,0.000,0.003,  6.78, 6.43,0.000, 54,  0,-24,
,,,,,,0.002,0.492,  5.62, 5.41,0.000, 54,-27, -6,
,,0.000,0.000,28,0.000,0.000,0.000,  8.49, 7.84,0.000,-51,-63, 15,
,,0.000,0.000,112,0.000,0.000,0.000,  8.47, 7.81,0.000,-33, 27, 36,
,,,,,,0.000,0.000,  8.39, 7.75,0.000,-27, 42, 24,
,,,,,,0.000,0.000,  7.65, 7.16,0.000,-36, 18, 42,
,,0.000,0.000,20,0.000,0.000,0.000,  8.42, 7.78,0.000,-12,-45, 51,
,,0.000,0.000,21,0.000,0.000,0.000,  8.40, 7.76,0.000,-12,-51, -6,
,,0.000,0.000,88,0.000,0.000,0.000,  8.27, 7.67,0.000, 15,-84,-18,
,,,,,,0.000,0.000,  7.64, 7.15,0.000, 12,-75,-18,
,,,,,,0.000,0.001,  6.93, 6.56,0.000, 12,-81, -9,
,,0.000,0.000,76,0.000,0.000,0.000,  8.12, 7.54,0.000, 48,  3, 36,
,,,,,,0.000,0.000,  7.71, 7.21,0.000, 45,  6, 27,
,,0.000,0.001,15,0.000,0.000,0.000,  7.70, 7.20,0.000, 57,-21, 36,
,,0.000,0.000,47,0.000,0.000,0.000,  7.55, 7.08,0.000, 54, 27, 12,
,,,,,,0.000,0.114,  5.97, 5.72,0.000, 48, 18,  6,
,,0.000,0.000,35,0.000,0.000,0.000,  7.41, 6.96,0.000, -3,-21, 54,
,,0.000,0.003,11,0.002,0.000,0.000,  7.36, 6.92,0.000, 24,-54, 57,
,,0.000,0.000,21,0.000,0.000,0.000,  7.35, 6.91,0.000, -9,-66,-12,
,,0.000,0.000,25,0.000,0.000,0.000,  7.32, 6.89,0.000,-51,-15, 33,
,,0.000,0.000,32,0.000,0.000,0.000,  7.31, 6.88,0.000,-60,-30, 27,
,,,,,,0.000,0.016,  6.41, 6.11,0.000,-51,-33, 36,
,,0.000,0.000,23,0.000,0.000,0.001,  7.07, 6.68,0.000, 21,  6, -3,
,,,,,,0.000,0.007,  6.57, 6.25,0.000, 21,  3,  6,
,,0.000,0.015,7,0.009,0.000,0.001,  7.07, 6.68,0.000,  0,-30, 42,
,,0.000,0.000,29,0.000,0.000,0.001,  6.99, 6.61,0.000, 24,-33, 60,
,,0.000,0.000,31,0.000,0.000,0.001,  6.94, 6.57,0.000, 21,-15, 72,
,,0.000,0.010,8,0.006,0.000,0.004,  6.72, 6.38,0.000, 48,-42,  6,
,,0.000,0.035,5,0.024,0.000,0.008,  6.55, 6.23,0.000,-30,-78, 24,
,,0.000,0.015,7,0.009,0.000,0.010,  6.50, 6.18,0.000, 15, 39, 42,
,,0.000,0.003,11,0.002,0.000,0.011,  6.48, 6.17,0.000, 48, 24, 27,
,,0.000,0.001,16,0.000,0.000,0.012,  6.46, 6.15,0.000, 21, 21, 48,
,,0.000,0.002,13,0.001,0.000,0.017,  6.38, 6.08,0.000,-18,-36, -6,
,,,,,,0.000,0.138,  5.92, 5.68,0.000,-21,-27, -9,
,,0.000,0.015,7,0.009,0.000,0.024,  6.31, 6.02,0.000, 27,-72, 33,
,,0.000,0.003,11,0.002,0.000,0.026,  6.29, 6.00,0.000,  3, 27, 60,
,,0.000,0.003,11,0.002,0.000,0.050,  6.15, 5.88,0.000, -9,  0, 72,
,,0.000,0.035,5,0.024,0.001,0.189,  5.85, 5.62,0.000,-42,-69, -9,
