set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,33,0.000,0.000,7333,0.000,0.000,0.000, 11.33,  Inf,0.000, 21,  42,-24,
,,,,,,0.000,0.000, 10.93,  Inf,0.000, 57, -63,-27,
,,,,,,0.000,0.000,  9.88,  Inf,0.000, 15, -42,-24,
,,0.000,0.000,423,0.000,0.000,0.000, 10.29,  Inf,0.000,-30, -42, 42,
,,,,,,0.000,0.000,  7.87, 7.34,0.000,-42, -51, 21,
,,,,,,0.000,0.000,  7.31, 6.88,0.000,-33, -15, 39,
,,0.000,0.000,696,0.000,0.000,0.000,  9.74,  Inf,0.000,  6, -36,  3,
,,,,,,0.000,0.000,  7.93, 7.39,0.000, -6, -21, 18,
,,,,,,0.000,0.000,  7.52, 7.06,0.000, -3, -42,  9,
,,0.000,0.000,354,0.000,0.000,0.000,  9.32,  Inf,0.000,-42,  48, 30,
,,,,,,0.000,0.000,  8.21, 7.62,0.000,-33,  54, 30,
,,,,,,0.000,0.000,  6.90, 6.53,0.000,-39,  57, 15,
,,0.000,0.000,736,0.000,0.000,0.000,  8.38, 7.75,0.000,-15, -81, 51,
,,,,,,0.000,0.000,  7.80, 7.29,0.000,-18,-105, 12,
,,,,,,0.000,0.000,  7.08, 6.69,0.000, -6,-105, 12,
,,0.000,0.000,1053,0.000,0.000,0.000,  8.20, 7.61,0.000, 54, -78,  3,
,,,,,,0.000,0.000,  8.09, 7.52,0.000, 21, -72, 63,
,,,,,,0.000,0.000,  6.99, 6.61,0.000, 24, -81, 54,
,,0.512,0.175,20,0.046,0.000,0.000,  7.78, 7.27,0.000,-15, -45, 36,
,,0.000,0.000,126,0.000,0.000,0.000,  7.59, 7.11,0.000, 30, -69, -6,
,,,,,,0.001,0.000,  5.72, 5.50,0.000, 33, -57, -6,
,,,,,,0.087,0.009,  4.76, 4.63,0.000, 39, -48,-12,
,,0.000,0.000,155,0.000,0.000,0.000,  7.04, 6.65,0.000, 36,  -9, 39,
,,,,,,0.000,0.000,  5.97, 5.72,0.000, 45, -15, 24,
,,,,,,0.001,0.000,  5.87, 5.63,0.000, 42,  -6, 30,
,,0.242,0.094,30,0.018,0.000,0.000,  6.79, 6.44,0.000, 69,   0,  9,
,,0.032,0.015,57,0.002,0.000,0.000,  6.22, 5.95,0.000, 18,  -9, -6,
,,,,,,0.235,0.023,  4.47, 4.36,0.000, 18, -12,  3,
,,,,,,0.307,0.031,  4.39, 4.28,0.000, 15,   0,  0,
,,0.034,0.015,56,0.002,0.008,0.001,  5.36, 5.18,0.000,-15, -15, 39,
,,,,,,0.025,0.003,  5.09, 4.93,0.000,-15, -30, 45,
,,,,,,0.118,0.012,  4.68, 4.55,0.000,-15, -21, 45,
,,0.512,0.175,20,0.046,0.050,0.005,  4.91, 4.76,0.000,-18, -51, 78,
,,0.990,0.609,5,0.296,0.066,0.007,  4.84, 4.70,0.000, 33, -30, 39,
,,0.747,0.318,14,0.089,0.074,0.008,  4.81, 4.67,0.000,-33, -39, 72,
,,,,,,0.253,0.025,  4.45, 4.34,0.000,-42, -36, 66,
,,0.444,0.161,22,0.038,0.080,0.008,  4.79, 4.65,0.000, -9, -12,  3,
,,0.893,0.492,10,0.145,0.082,0.008,  4.78, 4.65,0.000, 69, -18, 39,
,,0.207,0.085,32,0.015,0.138,0.014,  4.64, 4.51,0.000,-48,  54, -3,
,,,,,,1.000,0.607,  3.35, 3.30,0.000,-51,  33,-15,
,,0.282,0.104,28,0.021,0.163,0.017,  4.59, 4.47,0.000,  0, -45,-51,
,,0.191,0.085,33,0.014,0.180,0.018,  4.56, 4.44,0.000, 12,  15, 48,
,,,,,,0.503,0.058,  4.20, 4.11,0.000, 15,  24, 39,
,,0.965,0.609,7,0.218,0.200,0.020,  4.53, 4.41,0.000,-51, -24, 60,
,,0.965,0.609,7,0.218,0.215,0.021,  4.50, 4.39,0.000,-33, -57, 42,
,,0.355,0.129,25,0.028,0.226,0.023,  4.49, 4.38,0.000, -9,  72,  6,
,,0.965,0.609,7,0.218,0.333,0.034,  4.36, 4.26,0.000,-54, -69, 36,
,,0.990,0.609,5,0.296,0.579,0.070,  4.14, 4.05,0.000, 45, -15, 66,
,,0.990,0.609,5,0.296,0.630,0.080,  4.10, 4.01,0.000,-36,   3, 18,
,,0.990,0.609,5,0.296,0.703,0.096,  4.04, 3.95,0.000,-15, -42,-63,
,,0.980,0.609,6,0.253,0.740,0.105,  4.00, 3.92,0.000, 33,   0, 51,
,,0.990,0.609,5,0.296,0.812,0.128,  3.94, 3.86,0.000, 21,  21,  9,
,,0.990,0.609,5,0.296,0.957,0.230,  3.73, 3.66,0.000,-60, -33,-33,
,,0.990,0.609,5,0.296,0.961,0.235,  3.72, 3.65,0.000,-42,   6,-21,
,,0.946,0.609,8,0.189,0.985,0.303,  3.63, 3.57,0.000,-12, -81,  6,
,,0.980,0.609,6,0.253,0.996,0.387,  3.54, 3.48,0.000,-33,  30,  6,
