set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,36,0.000,0.000,1376,0.000,0.000,0.000, 12.76,  Inf,0.000,-57,-42, 15,
,,,,,,0.000,0.000, 11.75,  Inf,0.000,-48, -6,  0,
,,,,,,0.000,0.000, 11.27,  Inf,0.000,-51,  3, 27,
,,0.000,0.000,838,0.000,0.000,0.000, 11.19,  Inf,0.000,  3, 42, 24,
,,,,,,0.000,0.000, 11.15,  Inf,0.000,  0, 30, 36,
,,,,,,0.000,0.000, 10.94,  Inf,0.000,  0, 36, 42,
,,0.000,0.000,553,0.000,0.000,0.000, 11.04,  Inf,0.000, -9,-72, 18,
,,,,,,0.000,0.000,  9.07,  Inf,0.000, 15,-60,  9,
,,,,,,0.000,0.000,  8.88,  Inf,0.000, -6,-75, 27,
,,0.000,0.000,649,0.000,0.000,0.000,  9.75,  Inf,0.000, 54,-21, 12,
,,,,,,0.000,0.000,  9.62,  Inf,0.000, 45,-30, 15,
,,,,,,0.000,0.000,  8.97,  Inf,0.000, 42,  3,  0,
,,0.000,0.000,119,0.000,0.000,0.000,  8.97,  Inf,0.000,-45,-54,-21,
,,,,,,0.000,0.001,  6.65, 6.32,0.000,-39,-39,-24,
,,,,,,0.000,0.001,  6.56, 6.24,0.000,-27,-45,-15,
,,0.000,0.000,69,0.000,0.000,0.000,  8.94,  Inf,0.000,-21,-33, 66,
,,0.000,0.000,123,0.000,0.000,0.000,  8.82,  Inf,0.000,-54,-18,-12,
,,,,,,0.000,0.000,  8.32, 7.71,0.000,-54, -9,-18,
,,0.000,0.000,102,0.000,0.000,0.000,  8.62,  Inf,0.000, 57,-18,-12,
,,,,,,0.000,0.000,  6.78, 6.43,0.000, 54,  0,-24,
,,,,,,0.002,0.062,  5.62, 5.41,0.000, 54,-27, -6,
,,0.000,0.000,37,0.000,0.000,0.000,  8.49, 7.84,0.000,-51,-63, 15,
,,0.000,0.000,154,0.000,0.000,0.000,  8.47, 7.81,0.000,-33, 27, 36,
,,,,,,0.000,0.000,  8.39, 7.75,0.000,-27, 42, 24,
,,,,,,0.000,0.000,  7.65, 7.16,0.000,-36, 18, 42,
,,0.000,0.000,39,0.000,0.000,0.000,  8.42, 7.78,0.000,-12,-45, 51,
,,,,,,0.008,0.186,  5.34, 5.16,0.000,  0,-48, 54,
,,0.000,0.000,99,0.000,0.000,0.000,  8.12, 7.54,0.000, 48,  3, 36,
,,,,,,0.000,0.000,  7.71, 7.21,0.000, 45,  6, 27,
,,0.000,0.001,23,0.000,0.000,0.000,  7.70, 7.20,0.000, 57,-21, 36,
,,0.000,0.000,68,0.000,0.000,0.000,  7.55, 7.08,0.000, 54, 27, 12,
,,,,,,0.000,0.014,  5.97, 5.72,0.000, 48, 18,  6,
,,0.000,0.000,66,0.000,0.000,0.000,  7.41, 6.96,0.000, -3,-21, 54,
,,,,,,0.000,0.000,  7.07, 6.68,0.000,  0,-30, 42,
,,0.000,0.004,15,0.002,0.000,0.000,  7.36, 6.92,0.000, 24,-54, 57,
,,0.000,0.000,36,0.000,0.000,0.000,  7.32, 6.89,0.000,-51,-15, 33,
,,0.000,0.000,50,0.000,0.000,0.000,  7.31, 6.88,0.000,-60,-30, 27,
,,,,,,0.000,0.002,  6.41, 6.11,0.000,-51,-33, 36,
,,0.000,0.000,40,0.000,0.000,0.000,  7.07, 6.68,0.000, 21,  6, -3,
,,,,,,0.000,0.001,  6.57, 6.25,0.000, 21,  3,  6,
,,0.000,0.000,51,0.000,0.000,0.000,  6.99, 6.61,0.000, 24,-33, 60,
,,0.000,0.000,59,0.000,0.000,0.000,  6.94, 6.57,0.000, 21,-15, 72,
,,0.000,0.005,14,0.002,0.000,0.000,  6.72, 6.38,0.000, 48,-42,  6,
,,0.000,0.016,10,0.008,0.000,0.001,  6.55, 6.23,0.000,-30,-78, 24,
,,0.000,0.007,13,0.003,0.000,0.001,  6.50, 6.18,0.000, 15, 39, 42,
,,0.000,0.001,22,0.000,0.000,0.001,  6.48, 6.17,0.000, 48, 24, 27,
,,0.000,0.000,30,0.000,0.000,0.002,  6.46, 6.15,0.000, 21, 21, 48,
,,0.002,0.055,6,0.032,0.000,0.002,  6.40, 6.10,0.000,  3,-21,  0,
,,0.000,0.000,24,0.000,0.000,0.002,  6.38, 6.08,0.000,-18,-36, -6,
,,,,,,0.000,0.017,  5.92, 5.68,0.000,-21,-27, -9,
,,0.000,0.007,13,0.003,0.000,0.003,  6.31, 6.02,0.000, 27,-72, 33,
,,0.000,0.000,33,0.000,0.000,0.006,  6.15, 5.88,0.000, -9,  0, 72,
,,,,,,0.003,0.082,  5.55, 5.35,0.000,-18, -3, 69,
,,,,,,0.006,0.144,  5.41, 5.22,0.000,-24,-15, 72,
,,0.000,0.016,10,0.008,0.000,0.007,  6.13, 5.86,0.000, 18,-36, -3,
,,0.001,0.040,7,0.022,0.001,0.024,  5.85, 5.62,0.000, 48,-12, 33,
,,0.002,0.079,5,0.048,0.001,0.031,  5.79, 5.56,0.000, 24, 42, 30,
,,0.001,0.021,9,0.011,0.002,0.048,  5.69, 5.47,0.000, 24,  3, 57,
,,0.001,0.029,8,0.016,0.002,0.049,  5.68, 5.47,0.000,-30,-42,  0,
,,,,,,0.003,0.086,  5.54, 5.34,0.000,-36,-48, -6,
,,0.002,0.055,6,0.032,0.002,0.062,  5.62, 5.41,0.000, 12,  3, 12,
