set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,32,0.000,0.000,51,0.000,0.000,0.000,  9.53,  Inf,0.000, 51,-72,-24,
,,,,,,0.000,0.008,  6.96, 6.25,0.000, 57,-63,-27,
,,,,,,0.002,0.158,  5.82, 5.38,0.000, 60,-54,-27,
,,0.000,0.000,8,0.000,0.000,0.000,  8.93, 7.61,0.000,-24,-33, -3,
,,0.000,0.000,20,0.000,0.000,0.000,  8.74, 7.49,0.000,  0,-15,  3,
,,,,,,0.002,0.134,  5.88, 5.42,0.000, -6, -9,  6,
,,,,,,0.011,0.383,  5.49, 5.11,0.000, -6,-21,  0,
,,0.000,0.000,22,0.000,0.000,0.000,  7.98, 6.98,0.000, 15, 33, 27,
,,,,,,0.001,0.101,  5.98, 5.50,0.000, 15, 21, 33,
,,0.000,0.000,25,0.000,0.000,0.000,  7.85, 6.89,0.000,-15, -6, -9,
,,,,,,0.000,0.023,  6.58, 5.97,0.000, -6, -6, -9,
,,,,,,0.013,0.429,  5.44, 5.07,0.000,-18, -3,  0,
,,0.000,0.000,26,0.000,0.000,0.001,  7.80, 6.86,0.000,-39,-24, 21,
,,,,,,0.000,0.008,  6.97, 6.26,0.000,-48,-12, 18,
,,,,,,0.002,0.121,  5.92, 5.45,0.000,-48,-30, 27,
,,0.000,0.000,16,0.000,0.000,0.001,  7.59, 6.71,0.000,-33,-36,-24,
,,,,,,0.000,0.004,  7.20, 6.43,0.000,-36,-51,-15,
,,0.000,0.000,10,0.000,0.000,0.002,  7.42, 6.59,0.000,-27,-30,-33,
,,0.000,0.000,22,0.000,0.000,0.004,  7.24, 6.46,0.000,  6, 42,-27,
,,,,,,0.011,0.383,  5.49, 5.11,0.000, -3, 48,-27,
,,0.000,0.000,24,0.000,0.000,0.004,  7.22, 6.44,0.000, 18,-33,  6,
,,,,,,0.000,0.050,  6.27, 5.73,0.000, 12,-27,  6,
,,0.000,0.000,30,0.000,0.000,0.005,  7.10, 6.36,0.000, 36,-33,-27,
,,,,,,0.000,0.005,  7.08, 6.34,0.000, 30,-30,-33,
,,,,,,0.002,0.134,  5.88, 5.42,0.000, 21,-24,-30,
,,0.000,0.000,9,0.000,0.000,0.010,  6.90, 6.21,0.000, -9,-30,  3,
,,,,,,0.005,0.238,  5.67, 5.25,0.000,-21,-30,  3,
,,0.000,0.000,6,0.000,0.000,0.011,  6.85, 6.17,0.000, 63, 12, 30,
,,,,,,0.000,0.048,  6.31, 5.76,0.000, 63, 18, 18,
,,0.000,0.000,10,0.000,0.000,0.011,  6.84, 6.16,0.000,-42,-45,-42,
,,,,,,0.010,0.364,  5.51, 5.12,0.000,-48,-51,-42,
,,0.000,0.000,11,0.000,0.000,0.013,  6.80, 6.13,0.000,-12,-69,-51,
,,0.000,0.000,10,0.000,0.000,0.013,  6.79, 6.13,0.000, 57, 39,  9,
,,,,,,0.000,0.059,  6.19, 5.66,0.000, 57, 36, -6,
,,,,,,0.001,0.063,  6.14, 5.63,0.000, 57, 33,  3,
,,0.000,0.000,11,0.000,0.000,0.013,  6.77, 6.11,0.000, 15,  9,-12,
,,,,,,0.015,0.464,  5.41, 5.04,0.000,  6, 15, -6,
,,0.000,0.000,12,0.000,0.000,0.022,  6.61, 5.99,0.000,-15,  9,-21,
,,,,,,0.001,0.061,  6.16, 5.64,0.000,-12,  3,-27,
,,0.000,0.000,5,0.000,0.000,0.022,  6.60, 5.98,0.000, 33,-39, -9,
,,0.000,0.000,8,0.000,0.000,0.022,  6.60, 5.98,0.000,  9,-27,-12,
,,0.000,0.000,6,0.000,0.000,0.023,  6.57, 5.96,0.000, 15,-33, 48,
,,0.000,0.000,5,0.000,0.000,0.024,  6.56, 5.95,0.000, 15,-15, 45,
,,0.000,0.000,9,0.000,0.000,0.035,  6.42, 5.85,0.000,  9,-57,-27,
,,0.000,0.000,11,0.000,0.000,0.038,  6.40, 5.83,0.000,-12,-45,-45,
,,,,,,0.002,0.135,  5.87, 5.42,0.000, -9,-48,-36,
,,0.000,0.000,6,0.000,0.000,0.046,  6.33, 5.77,0.000, 12,  3, 51,
,,0.000,0.000,5,0.000,0.000,0.050,  6.27, 5.73,0.000,-30,-78, -9,
,,0.000,0.000,9,0.000,0.000,0.050,  6.25, 5.72,0.000,-21,-51,-48,
,,,,,,0.007,0.286,  5.59, 5.19,0.000,-27,-60,-54,
,,0.000,0.000,14,0.000,0.000,0.051,  6.24, 5.71,0.000,  0, -9,-12,
,,,,,,0.000,0.056,  6.21, 5.68,0.000, 12, -9, -9,
,,,,,,0.004,0.203,  5.72, 5.30,0.000, 15,-15, -3,
,,0.000,0.000,8,0.000,0.000,0.051,  6.24, 5.71,0.000,  6,  3, -6,
,,,,,,0.003,0.198,  5.74, 5.31,0.000,  0,  3,  0,
,,0.000,0.000,10,0.000,0.001,0.076,  6.07, 5.58,0.000,-12, 27, 42,
,,0.000,0.000,5,0.000,0.003,0.192,  5.76, 5.33,0.000, 15,  6,-24,
,,0.000,0.000,5,0.000,0.008,0.330,  5.54, 5.15,0.000, 12,-45,-45,
