set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,33,0.000,0.000,15740,0.000,0.000,0.000,  7.93, 7.19,0.000,-24,-75,-10,
,,,,,,0.000,0.000,  7.56, 6.90,0.000,-28,-60,-10,
,,,,,,0.000,0.000,  7.28, 6.69,0.000, 28,-66, -9,
,,0.178,0.123,311,0.030,0.081,0.064,  4.62, 4.45,0.000, 58,  2, 40,
,,,,,,0.933,0.623,  3.51, 3.43,0.000, 63,  9, 26,
,,0.139,0.107,348,0.023,0.083,0.064,  4.61, 4.44,0.000, 24,-81, 40,
,,,,,,0.871,0.537,  3.61, 3.53,0.000, 32,-76, 45,
,,0.000,0.001,1463,0.000,0.116,0.076,  4.51, 4.35,0.000, 34,-45, 62,
,,,,,,0.183,0.102,  4.37, 4.22,0.000, 28,-48, 54,
,,,,,,0.802,0.485,  3.70, 3.60,0.000, 32,-33, 51,
,,0.008,0.011,817,0.001,0.120,0.076,  4.50, 4.34,0.000, 44, -3, 54,
,,,,,,0.334,0.154,  4.15, 4.03,0.000, 34, -2, 50,
,,,,,,0.693,0.375,  3.81, 3.71,0.000, 32, -4, 62,
,,0.009,0.011,799,0.001,0.282,0.145,  4.22, 4.08,0.000,-62,-15, 30,
,,,,,,0.298,0.145,  4.20, 4.07,0.000,-58,-26, 26,
,,,,,,0.903,0.587,  3.57, 3.48,0.000,-51,-22, 33,
,,0.128,0.107,360,0.021,0.304,0.145,  4.19, 4.06,0.000, 21,-54, 10,
,,,,,,0.955,0.649,  3.46, 3.38,0.000,  6,-60,  9,
,,0.062,0.064,472,0.010,0.479,0.228,  4.00, 3.89,0.000,  9,-27, -4,
,,,,,,0.857,0.537,  3.63, 3.54,0.000, -3,-45,  8,
,,,,,,0.906,0.587,  3.56, 3.48,0.000, -6,-28, -8,
,,0.935,0.857,39,0.415,0.707,0.380,  3.79, 3.69,0.000,-33,-57, 63,
,,0.860,0.755,63,0.297,0.806,0.485,  3.69, 3.60,0.000,-34,-40, 48,
,,0.953,0.857,32,0.462,0.852,0.537,  3.64, 3.55,0.000, 24,-26, -4,
,,0.275,0.178,248,0.049,0.866,0.537,  3.62, 3.53,0.000,-44,  6, 30,
,,,,,,0.868,0.537,  3.62, 3.53,0.000,-50,  3, 34,
,,0.955,0.857,31,0.470,0.884,0.554,  3.59, 3.51,0.000, 66,-12, 22,
,,0.684,0.575,109,0.174,0.914,0.598,  3.55, 3.46,0.000,-52,  9, 20,
,,0.816,0.705,75,0.256,0.932,0.623,  3.51, 3.43,0.000,-44, -3, 58,
,,,,,,0.975,0.702,  3.39, 3.32,0.000,-40, -4, 51,
,,0.943,0.857,36,0.434,0.950,0.649,  3.47, 3.39,0.000,-46, -8, -6,
,,0.997,0.913,2,0.886,0.951,0.649,  3.47, 3.39,0.000,-54,-60,-16,
,,0.995,0.913,5,0.799,0.957,0.649,  3.45, 3.37,0.000,-44, 36, 33,
,,0.968,0.857,25,0.520,0.961,0.649,  3.44, 3.36,0.000, 12,-20, 44,
,,0.774,0.675,86,0.225,0.967,0.672,  3.42, 3.35,0.000, 60,-12, 40,
,,0.966,0.857,26,0.511,0.971,0.686,  3.41, 3.33,0.000, -8,-36, 34,
,,0.957,0.857,30,0.477,0.979,0.724,  3.37, 3.30,0.000, 33, 38, 40,
,,0.993,0.913,7,0.756,0.981,0.728,  3.36, 3.29,0.000, 46,  4,  8,
,,0.991,0.913,9,0.718,0.982,0.730,  3.36, 3.29,0.001, 48,-26, 22,
,,0.980,0.913,18,0.591,0.983,0.733,  3.35, 3.28,0.001,-20,-60, 20,
,,0.997,0.913,2,0.886,0.987,0.746,  3.33, 3.26,0.001, -6,-66, 63,
,,0.993,0.913,7,0.756,0.989,0.767,  3.31, 3.24,0.001,-22,-26, -4,
,,0.990,0.913,10,0.701,0.994,0.855,  3.26, 3.19,0.001,-40,-45,-20,
,,0.991,0.913,9,0.718,0.996,0.905,  3.22, 3.16,0.001, 54,-12,  9,
,,0.997,0.913,2,0.886,0.997,0.932,  3.20, 3.14,0.001,-14,-32, 39,
,,0.996,0.913,3,0.853,0.997,0.932,  3.20, 3.13,0.001,-16,-57, 64,
,,0.995,0.913,5,0.799,0.998,0.976,  3.17, 3.11,0.001,-16,-62, 10,
,,0.998,0.926,1,0.926,0.998,0.976,  3.16, 3.10,0.001,-45, 38, 30,
