set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,33,0.000,0.000,591,0.000,0.000,0.000,  9.32,  Inf,0.000,-51,  18, 24,
,,,,,,0.000,0.000,  9.22,  Inf,0.000,-42,   3, 30,
,,,,,,0.000,0.000,  7.38, 6.94,0.000,-33,  -6, 63,
,,0.000,0.000,137,0.000,0.000,0.000,  7.55, 7.09,0.000,-48,  15, -6,
,,,,,,0.775,0.146,  4.03, 3.95,0.000,-33,  18,-18,
,,0.000,0.000,1013,0.000,0.000,0.000,  7.45, 7.01,0.000, 33,  -6, 66,
,,,,,,0.000,0.000,  6.91, 6.54,0.000, 36,   6, 30,
,,,,,,0.000,0.000,  6.78, 6.44,0.000, 51,  18, 27,
,,0.000,0.000,276,0.000,0.000,0.000,  6.92, 6.56,0.000, 24, -66, 36,
,,,,,,0.212,0.032,  4.56, 4.45,0.000, 33, -45, 36,
,,,,,,0.775,0.146,  4.03, 3.95,0.000, 39, -39, 36,
,,0.000,0.000,422,0.000,0.000,0.000,  6.44, 6.14,0.000,-12, -78, 39,
,,,,,,0.000,0.000,  6.21, 5.94,0.000,-21, -75, 39,
,,,,,,0.000,0.000,  6.15, 5.89,0.000,-24, -69, 27,
,,0.000,0.000,281,0.000,0.000,0.000,  6.03, 5.78,0.000,  9,  63,-12,
,,,,,,0.000,0.000,  6.00, 5.76,0.000,  0,  57,-15,
,,,,,,0.865,0.185,  3.94, 3.87,0.000, -3,  45,-24,
,,0.000,0.000,180,0.000,0.001,0.000,  5.84, 5.61,0.000,-48,  48,  6,
,,,,,,0.073,0.013,  4.86, 4.72,0.000,-48,  36,-18,
,,,,,,0.294,0.044,  4.46, 4.35,0.000,-21,  36,-24,
,,0.382,0.084,21,0.026,0.001,0.001,  5.69, 5.48,0.000,-66, -48, 30,
,,,,,,0.993,0.359,  3.64, 3.58,0.000,-54, -48, 24,
,,0.457,0.100,19,0.032,0.006,0.002,  5.41, 5.22,0.000, 48,  18, -9,
,,0.002,0.001,86,0.000,0.007,0.002,  5.38, 5.20,0.000, 45,  57,-12,
,,,,,,0.023,0.005,  5.13, 4.97,0.000, 45,  42,-21,
,,,,,,0.449,0.071,  4.31, 4.21,0.000, 24,  45,-21,
,,0.318,0.070,23,0.020,0.014,0.004,  5.23, 5.06,0.000,  6, -51, -3,
,,0.001,0.000,98,0.000,0.045,0.009,  4.98, 4.83,0.000, 27, -45,-51,
,,,,,,0.473,0.074,  4.28, 4.19,0.000, 18, -48,-57,
,,,,,,0.542,0.087,  4.23, 4.14,0.000, 18, -27,-51,
,,0.078,0.021,38,0.004,0.100,0.017,  4.78, 4.65,0.000, 51, -75, 12,
,,0.054,0.016,42,0.003,0.166,0.027,  4.63, 4.51,0.000, 60, -51, 27,
,,,,,,0.980,0.297,  3.72, 3.66,0.000, 57, -42, 27,
,,,,,,0.981,0.297,  3.72, 3.66,0.000, 69, -51, 30,
,,0.181,0.042,29,0.011,0.201,0.032,  4.58, 4.46,0.000,-36, -63,-33,
,,,,,,0.886,0.190,  3.92, 3.84,0.000,-30, -72,-33,
,,0.732,0.171,13,0.070,0.212,0.032,  4.56, 4.45,0.000,-45, -54,-21,
,,0.587,0.138,16,0.047,0.234,0.035,  4.53, 4.42,0.000,-54, -18, 57,
,,0.103,0.026,35,0.006,0.453,0.071,  4.30, 4.21,0.000,-24, -99,-12,
,,0.002,0.001,82,0.000,0.541,0.087,  4.23, 4.14,0.000,-15, -84,-51,
,,,,,,0.603,0.101,  4.18, 4.09,0.000,-42, -78,-42,
,,,,,,0.853,0.180,  3.96, 3.88,0.000,-12, -81,-42,
,,0.683,0.156,14,0.061,0.700,0.127,  4.10, 4.01,0.000,-15, -48, 33,
,,0.124,0.030,33,0.007,0.750,0.144,  4.06, 3.97,0.000,  3, -21, 12,
,,,,,,0.892,0.192,  3.91, 3.83,0.000, 15, -15, 18,
,,0.683,0.156,14,0.061,0.756,0.145,  4.05, 3.97,0.000, -3, -42,-39,
,,0.318,0.070,23,0.020,0.763,0.145,  4.04, 3.96,0.000, -6,   3, 27,
,,,,,,0.991,0.349,  3.66, 3.60,0.000,  6,  12, 21,
,,0.990,0.437,5,0.244,0.875,0.189,  3.93, 3.85,0.000,-45,   3,  0,
,,0.904,0.262,9,0.124,0.878,0.189,  3.93, 3.85,0.000,  0, -87, -6,
,,,,,,1.000,0.623,  3.37, 3.32,0.000,  6, -90,-12,
,,0.825,0.218,11,0.092,0.914,0.206,  3.88, 3.80,0.000,-54, -12, 36,
,,0.990,0.437,5,0.244,0.948,0.240,  3.82, 3.75,0.000,-48, -33, 15,
,,0.683,0.156,14,0.061,0.953,0.244,  3.81, 3.74,0.000, 15, -78,-51,
,,0.867,0.242,10,0.107,0.963,0.260,  3.78, 3.71,0.000, 21, -96,-12,
,,0.990,0.437,5,0.244,0.991,0.349,  3.66, 3.60,0.000, -3, -99, 21,
,,0.936,0.296,8,0.145,0.998,0.418,  3.57, 3.51,0.000,-12, -30,-18,
,,,,,,0.999,0.467,  3.51, 3.46,0.000,-15, -30, -9,
,,0.904,0.262,9,0.124,0.999,0.454,  3.53, 3.47,0.000, 27, -69,-57,
,,0.979,0.400,6,0.204,1.000,0.515,  3.47, 3.41,0.000, 15, -60, 30,
